video_id,title,description,category,sub_category,tags
4jhicfrw1Y0,stay healthy high school day life conagh kathleen,day life start sorry focus much hello lovelies want commit maintain healthy lifestyle high school university college etc video im excite share personal tip trick make sure take healthy fill delicious lunch eat day social media instagram conaghkat music nocopyrightsounds ncs music without limitations axol ily ncs release axol httpssoundcloudcomaxolmusic httpswwwfacebookcomaxolmusicfrefts httpstwittercomaxolmusic ncs music without limitations cartoon feat daniel levi ncs release follow cartoon soundcloud httpssoundcloudcomcartoonbaboon facebook httpswwwfacebookcomcartoondband follow daniel levi vocalist facebook httpfacebookcomdaniellevimusic website httpdaniellevieu thank much subscribe hi name conagh kathleen year old australian channel passions life always want share love health fitness things makeup beauty world channel show many many makeup tutorials fitness information vlogs videos think stay tune new video every week conagh kathleen xoxo,Howto & Style,Health,"day in the life,how to stay healthy in high school,how to be healthy in school,how to be healthy,what i eat in a day high school,australian high school,how to lose weight in high school,how to eat healthy in high school,day in the life high school vlog,healthy high school lunches,how to stay healthy and fit for teenagers,how to stay healthy in college,healthy college recipes,healthy recipes,high school grwm,healthy lunch ideas,healthy breakfast ideas"
5MHPzGrkHeQ,fix repair chip crack break concrete,video show step step process patch break chip concrete slabs product work great repair break edge corner concrete step curb slabs wall support channel httpswwwgofundmecomsupportourconstructionvideos odellcompleteconcretetools funny trowel horse hair broom makita jack hammer lbs makita jack hammer lbs marshalltown premier line round end finish trowel curve durasofthandle marshalltown x margin trowel soft grip handle marshalltown premier line fully round finish trowel marshalltown premier line resin float bon round end spring steel fresno concrete trowel rock n roll bracket marshalltown stainless steel edger hilti w rotary hammer drill deluxe kit ridgid hyper cordless lithiumion drill driver impact driver combo kit odellcompleteconcretegmailcom odellcompeteconcretecom,Howto & Style,How to Fix/Repair,"How to repair cracked concrete,how to replace a broken concrete chip,how to fix cracked concrete,how to replace cracked concrete,how to fix chipped concrete,how to replace chipped concrete,what concrete cement should i use for cracked concrete,what cement should i use,what concrete should i use,How to Patch Concrete with Sakrete Top n' Bond Concrete Patcher,How to Make Thin Repairs to Damaged Concrete with,How to Repair Concrete Edges and Corners,cement concrete repair"
5YYb9vyj6zQ,band syndrome knee pain fix,fix tightness build athletically functional body httpathleanxcomxbuildthebodyofanathlete many lifters runners bikers get pain outside knee thigh think band syndrome tell unfortunately band catch middle pretty significant problems one likely four muscle video show four muscle hip actually contribute pain tension felt iliotibial band need fix hint want foam roll band unless want pain discomfort band thick fibrous tendon run along lateral aspect thigh connect hip tibia outside knee tendon ability withstand change tension pound resistive capacity think go able foam roll tightness may present structure sadly mistake say definitely influence tension present band address muscle insert band gluteus maximus lateral hamstring quads tensor fascia lata muscle fee iliotibial band muscle tight pull band cause tight also balance rest tension contribute feed cause pull femur make hard properly execute squat ride bike without feel pain outside thigh knee instead foam roll band want compress floss offend muscle feed tension show two mobility drill decrease tension hypertonic muscle tfl lateral quads want use resilient structure like lacrosse ball fat gripz use since much lower profile foam roller allow keep leg contact grind move hip flexion squat feel discomfort movements place muscle contact grip likely need work muscle one biggest place people waste time gym days see every mobility drill book want add routines realize wrong mobility drill perform actually put balance bring mobility work effective mobilize structure need first place go train workout program think look cool someone else tell prescription effective workout plan need do need do ignore rest broscience great way get result get faster get athleanx train system available httpathleanxcom hip mobility videos ways help stretch tight band sure subscribe channel youtube,Howto & Style,How to Fix/Repair,"IT band,Iliotibial band,IT band syndrome,iliotibial band syndrome,tight IT Band,IT band tightness,IT Band stretch,foam rolling,IT Band foam roll,Foam Roll IT Bands,mobility drill,hip mobility drill,knee pain when squatting,knee pain working out,knee pain when running,knee pain with biking,it band mobility drill,IT Band mobilization,mobility drill for IT band,mobility drill for tight IT band,athlean-x,athlean x,jeff cavaliere"
62kTNwtPmE8,fix crack plastic gas tank video,plastic fuel tank crack leak puncture two options replace repair try fix first time regular use tank may get damage entire fuel supply compromise try patch options solder trimmer line crack peel different compositions plastics bond together properly instead use sealall sealants epoxy solder iron ill show watch doesnt seal plastic gas tank time replace repair apply weedeaters hedgers chainsaws leaf blowers etc click solder iron click website httpwwwstevessmallenginesalooncom click part tool store httpswwwamazoncomshopstevessmallenginesaloon save money video please consider support efforts donation forget subscribe forget click turn video notifications money save videos feature top brand like stihl husky husqvarna echo honda briggs stratton john deere craftsman mtd ayp etc learn properly fix repair outdoor power equipment start bog rev chain blade dull cut good need sharpen simply run poorly simple basic diy tutorials help break lawn garden equipment best teach easily diagnose problems fastest quickest efficient way whether handheld two stroke two cycle engine like chainsaws weed eaters string trimmers grass trimmers line trimmers hedge trimmers strimmers brush cutters leaf blowers four stroke four cycle units like lawn mowers pressure washers generators ride mowers need part instal replace guy small engine mechanic many years videos load tip trick learn want pass want steve small engine saloon save time frustration important money google issue problem symptom may see one videos pop idea suggestion video please fill form httpswwwstevessmallenginesalooncomvideosuggestionshtml disclosure youtube video provide informational purpose steve qualify small engine mechanic work open fully ventilate shop purpose make video small engines operate outside fully ventilate areas important wear appropriate safety gear choose try one suggestions make video risk please ensure take proper safety measure attempt project,Howto & Style,How to Fix/Repair,"how,to,do,diy,lawn,replace,cut,tutorial,help,broken,stroke,four,two,garden,small,engine,repair,fix,learn,hedge,brush,start,simple,basic,easy,generator,mower,riding,blower,chain,saw,weed,eater,trimmer,grass,install,blade,bar,properly,tips,tricks,efficiently,google,stihl,husqvarna,husky,echo,honda,shindiawa,pressure,washer,hand,held,wont,dull,not,direction,diagnose,save,money,tech,clogged,bogging,idle,up,weedeater,outdoor,power,equipment,leaf blower,lawnmower,crack,plastic,gas,fuel,tank"
6Zi9MTmfjlM,diy home decor easy ideas,video recopilation new channel videos fashion diy home life hack hair trend much subscribe channel content help improve content,Howto & Style,DIY,"Home,DIY,Fashion,Hair,home,diy,fashion,hair,homebody lil durk,do it yourself,diy room decor,tumblr ban,tumblr girls g eazy,tumblr is dead,tumblr,diy christmas gifts,diy halloween costumes,diy room,how to,imdrewscott diy,room decor,home free,diy projects,diy crafts,diy ideas,diy projects for home,diy for home,home resonance,diy slime,homecoming grwm,aesthetic,2019,2020"
834sJmsdtOU,diy weird makeup ideas superhero makeup,subscribe weird ways sneak stress relievers class anti stress college supply superhero profession interest dangerous always look one hundred percent every superhero need coolest makeup supply tool foam paper highlighter palette star shape glitter markers gold makeup pigment rub alcohol empty eyeshadow palette glitter eyeshadow print superhero logos hair extensions thread needle glue glitter hot glue gun ribbons hair chalk concealer light clay model tool acrylic paint toy gun mascara spray paint black face mask scissor contact lens container nail polish sequins styrofoam ball utility knife hand lotion foam board hand sanitizer musiс tobu wholm motion source httpyoutubecomtobuofficial httpsfacebookcomwholmmusic future gladiator kevin macleod license creative commons attribution license source artist httpincompetechcom watch troom troom popular videos weird ways sneak food class back school prank funny prank prank war diy edible makeup funny prank weird ways sneak makeup class httpsyoutubebvhbismzhwe gummy food vs real food challenge popular playlists funny prank back school life hack beauty makeup hack home décor follow troom troom subscribe instagram httpswwwinstagramcomtroomtroom facebook httpswwwfacebookcomtroomhands pinterest httpspinterestcomtroomtroom troom troom español subscribe troom troom française subscribe troom troom russian subscribe troom troom deutsch subscribe troom troom chinese subscribe troom troom português subscribe troom troom japanese subscribe troom troom easy diy video tutorials diy accessories scrapbooking card home décor make tutorials life hack much make easy business enquire please contact troomtroomdiygmailcom question day like superhero makeup ideas comment forget turn notifications like subscribe,Howto & Style,DIY,"weird makeup ideas,DIY weird makeup ideas,superhero,superheroes,superhero makeup ideas,superhero makeup,makeup,troom troom,how to make,diy weird makeup ideas,diy weird makeup,how to,diy makeup,makeup tutorial,makeup ideas,weird makeup,makeup hacks,makeup tips,diy,for beginners,funny,tutorial,halloween makeup,halloween makeup tutorial,dc,halloween makeup ideas,marvel vs dc,wonder woman"
8KA3QNeh6ko,eat day stay fit healthy realistic,eat day stay fit healthy hey everyone full day eat meals love day legs gym also chat healthy eat good relationship food healthy lifestyle always really important able fuel body easy nutritious meals really hope enjoy thank always support xx teami blend discount code wwwteamiblendscom thank teami sponsor video f l l w e instagram httpswwwinstagramcomvanessatiiu twitter httpstwittercomvanessatiiu dote shop clothe vanessatiiu pinterest httpswwwpinterestcomvanessatiiu spotify u c chill noncopyrighted music business inquiries please feel free email contactvanessatiiugmailcom,Howto & Style,Health,"what i eat,what i eat in a day,what i eat in a day healthy,what i eat in a day to gain muscle,what i eat in a day to lose fat,what i eat in a day 2019,teen what i eat in a day,what i eat to gain muscle,what i eat to stay healthy,what i eat to lose fat,what i eat in a day realistic,what i eat in a day keto,healthy what i eat in a day,realistic what i eat in a day,hannah meloche,misscharlottebeauty1,fit what i eat in a day,hailey sani,sadie aldis"
8UPCq4OqwKk,simple fun diy ideas,crazy fun diy ideas try look easy fun craft ideas certainly right place put together fantastic video today bunch amaze diy ideas sure fun try call friends guarantee wan na try ideas begin show make mindblowing piece art feet yes feet need see eye learn cool rainbow design fruit everyone wan na know also show make mini gym bag dolls like draw feel like great worry super easy draw ideas love need pencil markers hand check video let us know ideas favorites timestamps feet paint artwork rainbow fruit mini doll gym bag easy snake draw hack cute mouse draw advise adult supervision care time video make entertainment purpose make warranties completeness safety reliability action take upon information video strictly risk liable damage losses viewers responsibility use judgment care precautions one plan replicate follow video might feature activity perform actors within control environment please use judgment care precaution plan replicate craft facebook instagram twitter subscribe craft girly httpsgooglfwbjqz bright side youtube httpsgooglrqtjzz videos article visit httpwwwbrightsideme music epidemic sound httpswwwepidemicsoundcom,Howto & Style,DIY,"handcraft tutorial,howto,tutorial,tips,useful things,life hacks,easy life hacks,crafts,diy,5-minute crafts,tricks,5-minute crafts play,do it yourself,diy projects,diy activities,simple life hacks,lifehacks"
948MLgRGNyU,priyanka chopras allnatural diy skin secrets beauty secrets vogue,quantico star priyanka chopra share three incredible allnatural beauty recipes yogurt hair mask sea salt lip treatment ubtan body scrub pass mother deeply root indian heritage still subscribe vogue youtube httpbitlyvogueyoutubesub vogue vogue authority fashion news culture trend beauty coverage videos celebrity style fashion week update priyanka chopras allnatural diy skin secrets beauty secrets vogue,Howto & Style,DIY,"beauty,beauty secrets,hair,how to,how-to,makeup,tutorial,priyanka chopra,priyanka chopra interview,priyanka chopra beauty,priyanka chopra hair,priyanka chopra makeup,priyanka chopra makeup tips,makeup tutorial,makeup tips,vogue,priyanka,quantico priyanka,quantico priyanka chopra,priyanka beauty secrets,priyanka chopra beauty secrets,diy beauty,diy makeup,do it yourself makeup,diy body scrub,priyanka hair,makeup tut"
B-eN-Vj7peU,diy turn old clothe new thrift flip ideas clothe hack,today im go show transform recyclereuse old bore clothe new ones super easy clothe hack transform tshirts jean short bandanasscarfs crop top bleach tie dye thrift flip ideas without sew machine belentutorials spanish channel httpswwwyoutubecomtutorialesbelenn social media twitter httpstwittercomtutorialesbelen instagram httpinstagramcomtutorialesbelen facebook httpswwwfacebookcomtutorialesbelen tumblr httptutorialesbelenntumblrcom pinterest httpswwwpinterestcomtutorialesbelen tiktok tutorialesbelen,Howto & Style,DIY,"belen tutorials,diy,clothing hacks,thrift flip,old clothes into new,no sewing,resize jeans,distressed denim,diy shorts,cardigans,tie dye shirt,outfits nothing to wear,urban outfitters,ugly to cute,mom jeans,jeans to skirt,transforming dresses,aesthetic clothes,fashion hacks,oversized,school hacks,every girl needs to know,minimal clothing,no sew hacks,boring clothes,graphic shirts,affordable fashion,recycle,recycling,reuse,upcycling,trendy"
BYjvjBQ5R5E,simply fashion fun fashion hack diy clothe ideas,hey fashionistas tire see clothe every store ones order online usually poor enough let create awesome clothe piece accessory items learn create awesome denim jacket cool patch jeans attachable pocket awesome fashion hack wait stay tune enjoy video might also like love music use video find music epidemicsound easy skirt ribbon stylish jeans patch pant edge pinup diy attachable pocket big binder handbag denim jacket bead collar tshirt heartshaped cutout zipper skirt subscribe crafty panda bubbly español deutsch français português pусский arabic hindi top crafty panda bubbly playlists girl fashion hack makeup beauty hack photography tip trick subscribe crafty panda channel like us facebook httpswwwfacebookcomcraftypanda visit bore panda website httpswwwboredpandacom download crafty panda animate stickers httpsitunesapplecomusappbored sponsor content contact us craftyboredpandacom fashionhacks fashionideas clothesdiy,Howto & Style,DIY,"Fashion Ideas,Fashion Hacks,Fashion Tips,Fashion Tricks,Fashion DIY,Fashion,Outfit Ideas,Outfit Tips,Outfit Tricks,Outfit Hacks,Outfits,Clothes Upcycle,Clothes Recycle,Clothes DIY,Clothes Hacks,Clothes Ideas,Clothes,Wardrobe Ideas,Wardrobe Tips,Wardrobe Tricks,Wardrobe,Useful Things,Tutorial,Guide,Step By Step,How To,Simple,Easy,Life Hacks,Hacks,Tips,Tricks,DIY Activities,Do It Yourself,DIY"
Dzk0tG-6alA,fix break sprinkler head,demonstration diy fix break inground popup sprinklers shrub sprinkler head logos icons create video creator intro music attribution high school snap break free license cc creative commons attribution license,Howto & Style,How to Fix/Repair,"Sprinkler fix,Pop Up Sprinkler Fix,popup sprinkler fix,Rainbird,toro,shrub sprinklers,replace sprinkler heads,diy sprinkler fix,broken sprinkler head,broken sprinkler head fix,how to fix broken sprinkler,sprinkler head replacement,fixing lawn sprinklers,lawn sprinkler,sprinkler repair"
EhMdChazw6Q,healthy habit hack need know,thirty tip help get path healthier lifestyle many already download free nutrition kickstart guide httpseatrunliftmefreedownload apply premium coach limit space available httpseatrunliftmecoaching nutrition train guide design different body type cater different goals httpseatrunliftmedownloads find online instagram httpinstagramcomrachelaust snapchat rachelaust blog httpwwweatrunliftme facebook httpwwwfacebookcomrachelaust twitter httptwittercomrachelaust pinterest httpsaupinterestcomrachelaust shop phone case collection popular videos become morning person meal prep morning routine day minimalism challenge get weightloss plateau,Howto & Style,Health,"hacks,hack video,life hacks,fitness hacks,health,fitness,weight loss,tone up,fit,healthy,clean eating,rachel aust,eatrunlift,habits,hormones,workout,work out plan,training,exercise"
FF_-JrdTcKs,repair curb rash wheel rim,wheel curb rash modern car httpswwwyoutubecomwatchvalzcddoqxk first doityourself spray paint bodywork course httpbitlylearnautobody complete guide repair alloy wheel curb rash damage scratch repair home cost small amount money need help advice click facebook instagram products use clearcoat aerosol silver wheel aerosol primer aersosol sandpaper assortment mask tape tack cloth body filler bondo camera gear canon eos camera sturdy tripod stm lens timelapse iphone phone tripod camera bag,Howto & Style,How to Fix/Repair,"kerbed,alloy wheel,rash,repair,how to,wheel,paint,painting,fix,curb rash,kerb,scratch,scratches"
Fn8HKZyA3rA,repair almost everything,timestamps slime clean trick cocacola rust removal wall repair trick shoe clean toothpaste tile decorate remove stain video make entertainment purpose make warranties completeness safety reliability action take upon information video strictly risk liable damage losses viewers responsibility use judgment care precautions one plan replicate follow video might feature activity perform actors within control environment please use judgment care precaution plan replicate craft facebook instagram twitter subscribe craft girly httpsgooglfwbjqz bright side youtube httpsgooglrqtjzz videos article visit httpwwwbrightsideme music epidemic sound httpswwwepidemicsoundcom,Howto & Style,How to Fix/Repair,"gadget,5-minute crafts tech,proyectos faciles,trucos de belliza,tutorial,handcraft,tips,5 minute craft,useful things,tech,crafts,diy,5-minute crafts,tricks,do it yourself,diy projects,trucos,ea,diy activities,5 minutes craft,lifehacks"
GktX_p7NpoI,ways stay energise throughout day stayhome stay healthy glamrs,work home find difficult keep energy whole day heres plan day feel energise fresh try simple tip daily routine get benefit simple change bring dramatically closer end goal without feel dull tedious make sure subscribe never miss video httpsgooglfovogp hope find video helpful thank watch next time stay tune stay glamrs glamrs first indian makeup beauty style fitness lifestyle video platform women tune daily latest trendy makeup tip healthcare fashion ideas nail art daily life hack interest diy videos much team beauty style fitness health experts bring best advice tip trick home remedy always intheknow quick videos easily watch phone lot love team glamrs glamrsfood weightloss healthyfoods,Howto & Style,Health,"glamrs,glamrs.com,glamrstv,How to boost energy,How to feel more energetic,How to boost metabolism,Causes of low energy level,Why I feel tired all time,Ways to improve energy,Increase energy level,Steps your can take to stay energetic,10 ways to boost energy,Improve metabolism,Boost energy naturally,Boost metabolism naturally,how to stay active during work from home,exercises to stay fit"
GymP4FTinRc,diet nutrition guide sample diet plan every day healthy eat ramya,video shiny surendran ramya discuss sample diet plan every day healthy eat shiny surendran dietitiannutrionist hande medical center clinic maria location hande medical nungambakkam high road cheer ramya follow twitter httpstwittercomramyavj like fb httpswwwfacebookcomvjramyaofficial insta httpswwwinstagramcomramyasub snapchat ramsub association divo httpwwwfacebookcomdivomovies httpstwittercomdivomovies,Howto & Style,Health,"StayfitwithRamya,workout,RamyaVJfitness,WorkoutwithRamya,VJRamya,ramya vj fitness,fitness motivation,fitness workout for women,crossfit workouts,fitness workout,a sample diet plan for everyday healthy life,balanced diet chart,balanced diet,diet & nutrition guide,balanced diet ramya video,diet and nutrition guide ramya,diet plan,shiny surendran dietician,healthy lifestyle,healthy life diet plan,stay fit with ramya,vj ramya workout,ramya subramanian,vj ramya"
